src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,min_rtt,avg_rtt,max_rtt,mdev_rtt
aws:ap-southeast-2,PREMIUM,m5.large,gcp:europe-west3-a,PREMIUM,n2-standard-4,284.594,284.719,284.817,0.248
gcp:europe-west2-a,PREMIUM,n2-standard-4,gcp:asia-northeast3-a,STANDARD,n2-standard-4,,,,
aws:ap-southeast-2,PREMIUM,m5.large,aws:af-south-1,PREMIUM,m5.large,404.264,404.289,404.379,0.286
aws:af-south-1,PREMIUM,m5.large,gcp:europe-north1-a,PREMIUM,n2-standard-4,197.991,198.06,198.107,0.03
gcp:asia-northeast3-a,PREMIUM,n2-standard-4,gcp:asia-southeast2-a,PREMIUM,n2-standard-4,,,,
gcp:asia-northeast3-a,PREMIUM,n2-standard-4,gcp:asia-southeast1-a,STANDARD,n2-standard-4,,,,
azure:westus,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,STANDARD,n2-standard-4,145.268,145.544,145.804,0.133
azure:canadacentral,PREMIUM,Standard_D2_v3,gcp:asia-northeast1-a,PREMIUM,n2-standard-4,160.637,162.703,178.926,5.429
azure:centralindia,PREMIUM,Standard_D2_v3,aws:us-west-2,PREMIUM,m5.large,208.75,208.928,209.097,0.587
gcp:asia-northeast2-a,PREMIUM,n2-standard-4,gcp:asia-northeast3-a,STANDARD,n2-standard-4,,,,
azure:southafricanorth,PREMIUM,Standard_D2_v3,gcp:us-east1-b,STANDARD,n2-standard-4,258.943,259.103,259.268,0.403
aws:us-east-2,PREMIUM,m5.large,gcp:asia-northeast3-a,PREMIUM,n2-standard-4,180.329,180.411,180.488,0.382
aws:eu-south-1,PREMIUM,m5.large,gcp:asia-south1-a,STANDARD,n2-standard-4,133.972,134.108,134.261,0.089
aws:ap-southeast-1,PREMIUM,m5.large,gcp:us-east1-b,PREMIUM,n2-standard-4,217.927,218.011,218.169,0.473
azure:switzerlandnorth,PREMIUM,Standard_D2_v3,gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,102.038,102.6,105.1,0.891
aws:ap-east-1,PREMIUM,m5.large,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,194.114,194.227,194.303,0.594
gcp:europe-west1-b,PREMIUM,n2-standard-4,gcp:us-west4-a,PREMIUM,n2-standard-4,,,,
azure:westeurope,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,STANDARD,n2-standard-4,18.271,20.039,34.263,4.744
gcp:australia-southeast2-a,PREMIUM,n2-standard-4,gcp:europe-north1-a,PREMIUM,n2-standard-4,,,,
aws:ap-southeast-3,PREMIUM,m5.large,gcp:asia-east1-a,STANDARD,n2-standard-4,86.397,86.466,86.688,0.331
azure:norwayeast,PREMIUM,Standard_D2_v3,gcp:asia-southeast1-a,PREMIUM,n2-standard-4,200.531,200.648,200.886,0.096
azure:eastasia,PREMIUM,Standard_D2_v3,aws:me-south-1,PREMIUM,m5.large,118.842,118.94,119.023,0.161
gcp:asia-northeast2-a,PREMIUM,n2-standard-4,gcp:europe-west1-b,PREMIUM,n2-standard-4,,,,
azure:westus,PREMIUM,Standard_D2_v3,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,141.85,141.997,142.162,0.486
aws:us-west-2,PREMIUM,m5.large,gcp:asia-southeast2-a,STANDARD,n2-standard-4,191.235,191.294,191.356,0.199
azure:northeurope,PREMIUM,Standard_D2_v3,aws:ap-southeast-2,PREMIUM,m5.large,261.285,261.601,263.882,0.888
azure:brazilsouth,PREMIUM,Standard_D2_v3,gcp:southamerica-east1-a,STANDARD,n2-standard-4,4.626,4.77,5.197,0.185
azure:northcentralus,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,STANDARD,n2-standard-4,110.259,110.394,110.534,0.403
aws:ca-central-1,PREMIUM,m5.large,gcp:us-east1-b,PREMIUM,n2-standard-4,31.65,31.754,31.864,0.234
azure:uksouth,PREMIUM,Standard_D2_v3,aws:ap-southeast-2,PREMIUM,m5.large,260.321,261.239,268.61,2.457
azure:australiaeast,PREMIUM,Standard_D2_v3,gcp:us-west4-a,PREMIUM,n2-standard-4,149.665,149.865,149.981,0.096
gcp:asia-east1-a,PREMIUM,n2-standard-4,gcp:australia-southeast2-a,PREMIUM,n2-standard-4,,,,
azure:brazilsouth,PREMIUM,Standard_D2_v3,gcp:asia-east2-a,PREMIUM,n2-standard-4,312.841,313.107,313.604,0.597
azure:northeurope,PREMIUM,Standard_D2_v3,gcp:europe-north1-a,PREMIUM,n2-standard-4,48.601,48.719,48.899,0.308
gcp:asia-south1-a,STANDARD,n2-standard-4,gcp:europe-west3-a,STANDARD,n2-standard-4,,,,
azure:norwayeast,PREMIUM,Standard_D2_v3,gcp:europe-west6-a,STANDARD,n2-standard-4,37.547,37.64,37.711,0.1
aws:ap-southeast-1,PREMIUM,m5.large,gcp:europe-west3-a,STANDARD,n2-standard-4,155.013,155.422,155.679,0.403
aws:me-south-1,PREMIUM,m5.large,gcp:europe-west3-a,PREMIUM,n2-standard-4,103.898,103.978,104.039,0.41
aws:eu-south-1,PREMIUM,m5.large,gcp:asia-northeast3-a,PREMIUM,n2-standard-4,267.617,267.68,267.913,0.47
gcp:us-central1-a,STANDARD,n2-standard-4,gcp:us-east4-a,STANDARD,n2-standard-4,,,,
azure:northcentralus,PREMIUM,Standard_D2_v3,gcp:europe-west1-b,STANDARD,n2-standard-4,113.548,113.792,113.991,0.361
gcp:europe-west4-a,PREMIUM,n2-standard-4,gcp:asia-south1-a,STANDARD,n2-standard-4,,,,
aws:ap-east-1,PREMIUM,m5.large,gcp:europe-west1-b,PREMIUM,n2-standard-4,250.338,250.494,250.616,0.454
